name,type,price
Aden Basic Tank,Tanks,18.00
Amara Floral Tank,Tanks,20.00
Amara Lace Hearts Tank,Tanks,20.00
Amara Lace Tank,Tanks,22.00
Amara Long Tank,Tanks,18.00
Amara Ruffle Tank,Tank,18.00
Amara Tank,Tanks,18.00
Amara Tank,Tanks,18.00
Amaya Lace Tank,Tanks,18.00
Amaya Lace Tank,Tanks,18.00
Amaya Tank,Tanks,18.00
Amaya Tank,Tanks,18.00
Amaya Tank,Tanks,18.00
Amira Top,Tanks,28.00
Archie Burgundy Tank,Tanks,18.00
Archie Long Tank,Tanks,18.00
Archie Polka Dots Tank,Tanks,20.00
Archie Polka Dots Tank,Tanks,22.00
Archie Striped Tank,Tank,20.00
Archie Tank,Tanks,18.00
Arden Tank,Tank,26.00
Arden Tank,Tanks,24.00
Ashlyn New York Top,T-Shirts,20.00
Ava Tank,Tanks,18.00
Belle Tank,Tanks,14.00
Beyonca Camouflage Tank,Tanks,18.00
Beyonca Crop Tank,Tanks,16.00
Beyonca Crop Tank,Tanks,16.00
Beyonca Long Tank,Tanks,16.00
Beyonca Tank,Tanks,16.00
Beyonca Tank Top,Tanks,18.00
Celia Tank,Tanks,18.00
Christy Hoodie,Sweatshirts,45.00
Colleen Top,Tanks,24.00
Dalis Tank,Tanks,16.00
Dalis Tank,Tanks,18.00
Dalis Tank,Tanks,18.00
Edith Floral Tank,Tanks,26.00
Edith Florals Tank,Tanks,26.00
Edith Halter Tank,Tanks,24.00
Edith Linen Tank,Tanks,26.00
Edith Pointelle Tank,Tanks,24.00
Edith Polka Dot Tank,Tank,26.00
Edith Polka Dot Tank,Tanks,26.00
Edith Polka Dot Tank,Tanks,26.00
Edith Roses Tank,Tanks,26.00
Erica Basic Crewneck,Sweatshirts,40.00
Erica Oversized Sweatshirt,Sweatshirts,40.00
Erica Radio Silence Sweatshirt,Sweatshirts,45.00
Erica Sweatshirt,Sweatshirts,40.00
Gabriela Tank,Tanks,23.00
Hailie Camouflage Top,T-Shirts,20.00
Hailie Top,T-Shirts,18.00
Hailie Top,T-Shirts,18.00
Halie Top,T-Shirts,18.00
Hazel Flannel Top,Shirts,32.00
Helena Tank,Tanks,18.00
Honor Tank,Tank,18.00
Honor Tank,Tanks,18.00
Isla Tank Top,Tanks,8.00
Isla Tank Top,Tanks,8.00
Josie Halter Top,Tanks,16.00
Kathleen Basic Tank,Tanks,22.00
Leila Tank,Tanks,22.00
Loreen Top,T-Shirts,20.00
Lorene Button Top,Tanks,18.00
Lydia Tank,Tanks,22.00
Maeve Top,Tanks,26.00
Matilde Striped Tank Top,Tanks,18.00
Millie Gingham Top,Shirts,32.00
Millie Top,Shirts,32.00
Mirabelle Cropped Tank,Tanks,18.00
Mirabelle Tank,Tanks,16.00
Misty New York Sweatshirt,Sweatshirts,42.00
Naomi Linen Tank,Tanks,24.00
Ronnie Rib Lace Tank,Tanks,16.00
Rue Plaid Top,Shirts,28.00
Serena Tank,Tank,20.00
Simone Tank,Tanks,14.00
Skylar Eyelet Tank,Tanks,16.00
Skylar Eyelet Tank,Tanks,16.00
Skylar Eyelet Tank,Tanks,16.00
Skylar Eyelet Tank,Tanks,16.00
Skylar Eyelet Tank,Tanks,16.00
Skylar Floral Eyelet Lace Tank,Tanks,20.00
Skylar Ribbed Tank,Tanks,20.00
Skylar Ribbed Tank,Tanks,16.00
Skylar Stripe Tank,Tanks,18.00
Skylar Striped Tank,Tanks,18.00
Skylar Striped Tank,Tanks,18.00
Skylar Striped Tank,Tanks,18.00
Skylar Striped Tank,Tank,18.00
Skylar Striped Tank,Tanks,18.00
Skylar Striped Tank,Tanks,18.00
Skylar Sturgis Tank,Tanks,18.00
Skylar Tank,Tank,20.00
Skylar Tank,Tanks,18.00
Skylar Tank Top,Tank,18.00
Skylar Teddy Bear Tank,Tanks,20.00
Skyler Leopard Tank,Tanks,18.00
Skyler Polka Dots Tank,Tanks,18.00
Snow Lodge Greater Yellowstone Sweatshirt,Sweatshirts,38.00
Sylvie Top,Tank,26.00
Tara Tank,Tanks,24.00
Tiffany Cotton Tank,Tanks,23.00
Tiffany Gingham Top,Tanks,26.00
Tiffany Plaid Tank,Tanks,24.00
Tiffany Plaid Tank,Tanks,24.00
Tiffany Plaid Tank,Tanks,24.00
Tiffany Polka Dot Tank,Tanks,20.00
Tiffany Polka Dot Tank,Tanks,20.00
Tiffany Polka Dot Tank,Tanks,20.00
Tiffany Polka Dot Tank,Tanks,20.00
Tiffany Polka Dots Tank,Tanks,24.00
Tiffany Polka Dots Tank,Tanks,24.00
Tiffany Roses Tank,Tanks,24.00
Tiffany Striped Tank,Tanks,26.00
Tiffany Striped Tank,Tanks,26.00
Tiffany Striped Tank,Tank,26.00
Tiffany Striped Tank,Tanks,20.00
Tiffany Striped Top,Tank,26.00
Tiffany Stripes Tank,Tanks,22.00
Tiffany Tank,Tanks,21.00
Vicki Tank,Tanks,16.00
